id,evidence_type,source_record_id,description,storage_path,confidence,data_source,created_at
EV000017,SURVEILLANCE,ANPR-VH000022,ANPR capture of TN49 AL 5724 near Harbour Road Group corridor,/secure_vault/synthetic/surveillance/ev-57743.enc,0.9,SYNTHETIC,2026-01-28T15:59:01Z
EV000018,SURVEILLANCE,CCTV-VH000022,CCTV frames of TN49 AL 5724 with Arjun Soman at wheel,/secure_vault/synthetic/surveillance/ev-18331.enc,0.9,SYNTHETIC,2025-04-27T00:51:11Z
EV000019,FINANCIAL,RTGS-AC000038,RTGS beneficiary instruction from Arjun Soman account,/secure_vault/synthetic/financial/ev-16471.enc,0.9,SYNTHETIC,2024-09-15T07:23:57Z
EV000020,FINANCIAL,KYC-AC000038,KYC ownership of XXXX5330,/secure_vault/synthetic/financial/ev-51548.enc,0.9,SYNTHETIC,2025-09-20T16:28:48Z
EV000022,FIR,DOC-EV000021,Custody records placing Ikbal Raghavan in Harbour Road Group,/secure_vault/synthetic/fir/ev-26395.enc,0.9,SYNTHETIC,2026-08-15T12:50:58Z
EV000023,CDR,CDR-P00038-5385,Call detail: Alexander Chanda to 9485996135,/secure_vault/synthetic/cdr/ev-31623.enc,0.9,SYNTHETIC,2025-03-23T13:13:36Z
EV000024,SURVEILLANCE,REG-PH000057,Subscriber identity registration for 9485996135,/secure_vault/synthetic/surveillance/ev-90125.enc,0.9,SYNTHETIC,2024-03-28T00:54:48Z
EV000025,SURVEILLANCE,ANPR-VH000031,ANPR capture of TN21 HV 1242 near North Star Outfit corridor,/secure_vault/synthetic/surveillance/ev-52443.enc,0.9,SYNTHETIC,2025-11-04T18:31:50Z
EV000026,SURVEILLANCE,CCTV-VH000031,CCTV frames of TN21 HV 1242 with Sarthak Warrior at wheel,/secure_vault/synthetic/surveillance/ev-59854.enc,0.9,SYNTHETIC,2025-12-05T01:59:12Z
EV000028,FIR,DOC-EV000027,Scene-of-crime document naming Sarthak Warrior,/secure_vault/synthetic/fir/ev-65652.enc,0.9,SYNTHETIC,2026-07-23T03:40:30Z
EV000029,CDR,CDR-P00042-6582,Call detail: Ryan Warrior to 9166779843,/secure_vault/synthetic/cdr/ev-80343.enc,0.9,SYNTHETIC,2024-04-09T12:15:19Z
EV000030,SURVEILLANCE,REG-PH000090,Subscriber identity registration for 9166779843,/secure_vault/synthetic/surveillance/ev-97704.enc,0.9,SYNTHETIC,2025-03-05T06:53:25Z
EV000031,SURVEILLANCE,ANPR-VH000048,ANPR capture of TN63 US 7528 near Red Sand Gang corridor,/secure_vault/synthetic/surveillance/ev-26930.enc,0.9,SYNTHETIC,2026-08-17T17:45:03Z
EV000032,SURVEILLANCE,CCTV-VH000048,CCTV frames of TN63 US 7528 with Alka Sur at wheel,/secure_vault/synthetic/surveillance/ev-54603.enc,0.9,SYNTHETIC,2025-04-29T14:53:42Z
EV000033,FINANCIAL,RTGS-AC000083,RTGS beneficiary instruction from Alka Sur account,/secure_vault/synthetic/financial/ev-10135.enc,0.9,SYNTHETIC,2026-03-07T15:07:52Z
EV000034,FINANCIAL,KYC-AC000083,KYC ownership of XXXX2711,/secure_vault/synthetic/financial/ev-20204.enc,0.9,SYNTHETIC,2026-04-25T11:23:13Z
EV000036,FIR,DOC-EV000035,Custody records placing Dayita Nadig in Red Sand Gang,/secure_vault/synthetic/fir/ev-51861.enc,0.9,SYNTHETIC,2025-12-25T18:36:02Z
EV000037,CDR,CDR-P00044-7134,Call detail: Simon Shah to 6983212766,/secure_vault/synthetic/cdr/ev-38157.enc,0.9,SYNTHETIC,2026-07-07T22:16:10Z
EV000038,SURVEILLANCE,REG-PH000124,Subscriber identity registration for 6983212766,/secure_vault/synthetic/surveillance/ev-36964.enc,0.9,SYNTHETIC,2026-02-22T08:44:05Z
EV000039,SURVEILLANCE,ANPR-VH000064,ANPR capture of TN45 TG 8486 near Delta Cartel corridor,/secure_vault/synthetic/surveillance/ev-17826.enc,0.9,SYNTHETIC,2026-05-25T10:35:29Z
EV000040,SURVEILLANCE,CCTV-VH000064,CCTV frames of TN45 TG 8486 with Mitesh Rau at wheel,/secure_vault/synthetic/surveillance/ev-85827.enc,0.9,SYNTHETIC,2024-09-11T23:54:17Z
EV000042,FIR,DOC-EV000041,Scene-of-crime document naming Mitesh Rau,/secure_vault/synthetic/fir/ev-85549.enc,0.9,SYNTHETIC,2026-08-17T23:39:49Z
EV000043,CDR,CDR-P00025-1740,Call detail: Hemal Yadav to 9094054783,/secure_vault/synthetic/cdr/ev-86375.enc,0.9,SYNTHETIC,2026-07-22T20:33:45Z
EV000044,SURVEILLANCE,REG-PH000139,Subscriber identity registration for 9094054783,/secure_vault/synthetic/surveillance/ev-34979.enc,0.9,SYNTHETIC,2026-08-03T02:00:58Z
EV000045,SURVEILLANCE,ANPR-VH000074,ANPR capture of TN25 DN 5476 near Iron Wolf Syndicate corridor,/secure_vault/synthetic/surveillance/ev-94714.enc,0.9,SYNTHETIC,2024-06-08T19:40:06Z
EV000046,SURVEILLANCE,CCTV-VH000074,CCTV frames of TN25 DN 5476 with Kritika Maharaj at wheel,/secure_vault/synthetic/surveillance/ev-62800.enc,0.9,SYNTHETIC,2026-07-30T22:55:24Z
EV000047,FINANCIAL,RTGS-AC000129,RTGS beneficiary instruction from Kritika Maharaj account,/secure_vault/synthetic/financial/ev-72412.enc,0.9,SYNTHETIC,2026-03-31T08:14:43Z
EV000048,FINANCIAL,KYC-AC000129,KYC ownership of XXXX8693,/secure_vault/synthetic/financial/ev-48325.enc,0.9,SYNTHETIC,2025-03-29T05:53:29Z
EV000050,FIR,DOC-EV000049,Custody records placing Lakshit Verma in Iron Wolf Syndicate,/secure_vault/synthetic/fir/ev-50585.enc,0.9,SYNTHETIC,2026-07-08T17:45:27Z
EV000051,CDR,CDR-P00024-7471,Call detail: Vritti Sidhu to 7142034908,/secure_vault/synthetic/cdr/ev-53360.enc,0.9,SYNTHETIC,2025-10-07T12:09:33Z
EV000052,SURVEILLANCE,REG-PH000152,Subscriber identity registration for 7142034908,/secure_vault/synthetic/surveillance/ev-50202.enc,0.9,SYNTHETIC,2026-03-20T11:17:15Z
EV000053,SURVEILLANCE,ANPR-VH000082,ANPR capture of TN46 XV 8035 near Crimson Tide Group corridor,/secure_vault/synthetic/surveillance/ev-99382.enc,0.9,SYNTHETIC,2025-12-30T11:53:18Z
EV000054,SURVEILLANCE,CCTV-VH000082,CCTV frames of TN46 XV 8035 with Ronith Pingle at wheel,/secure_vault/synthetic/surveillance/ev-38261.enc,0.9,SYNTHETIC,2024-06-07T13:49:38Z
EV000056,FIR,DOC-EV000055,Scene-of-crime document naming Ronith Pingle,/secure_vault/synthetic/fir/ev-91659.enc,0.9,SYNTHETIC,2026-01-24T23:19:37Z
EV000057,CDR,CDR-P00033-2572,Call detail: Megha Roy to 9042131370,/secure_vault/synthetic/cdr/ev-46732.enc,0.9,SYNTHETIC,2026-03-04T10:50:50Z
EV000058,SURVEILLANCE,REG-PH000176,Subscriber identity registration for 9042131370,/secure_vault/synthetic/surveillance/ev-17441.enc,0.9,SYNTHETIC,2026-06-11T22:57:07Z
EV000059,SURVEILLANCE,ANPR-VH000092,ANPR capture of TN55 AV 5925 near Black Lotus Network corridor,/secure_vault/synthetic/surveillance/ev-62176.enc,0.9,SYNTHETIC,2026-02-23T14:10:41Z
EV000060,SURVEILLANCE,CCTV-VH000092,CCTV frames of TN55 AV 5925 with Akshay Rau at wheel,/secure_vault/synthetic/surveillance/ev-16536.enc,0.9,SYNTHETIC,2025-02-17T19:17:20Z
EV000061,FINANCIAL,RTGS-AC000166,RTGS beneficiary instruction from Akshay Rau account,/secure_vault/synthetic/financial/ev-67134.enc,0.9,SYNTHETIC,2024-04-08T17:41:39Z
EV000062,FINANCIAL,KYC-AC000166,KYC ownership of XXXX8611,/secure_vault/synthetic/financial/ev-38166.enc,0.9,SYNTHETIC,2025-10-15T10:20:07Z
EV000064,FIR,DOC-EV000063,Custody records placing Kashish Venkatesh in Black Lotus Network,/secure_vault/synthetic/fir/ev-13327.enc,0.9,SYNTHETIC,2026-02-14T05:09:58Z
EV000065,CDR,CDR-P00039-2569,Call detail: Ekiya Savant to 9356369014,/secure_vault/synthetic/cdr/ev-56570.enc,0.9,SYNTHETIC,2025-05-30T10:50:45Z
EV000066,SURVEILLANCE,REG-PH000194,Subscriber identity registration for 9356369014,/secure_vault/synthetic/surveillance/ev-89318.enc,0.9,SYNTHETIC,2025-02-18T07:57:43Z
EV000067,SURVEILLANCE,ANPR-VH000105,ANPR capture of TN01 ZH 4647 near Eastern Arc Outfit corridor,/secure_vault/synthetic/surveillance/ev-26926.enc,0.9,SYNTHETIC,2024-06-16T07:51:35Z
EV000068,SURVEILLANCE,CCTV-VH000105,CCTV frames of TN01 ZH 4647 with Wishi Bir at wheel,/secure_vault/synthetic/surveillance/ev-60377.enc,0.9,SYNTHETIC,2024-05-29T13:22:31Z
EV000070,FIR,DOC-EV000069,Scene-of-crime document naming Wishi Bir,/secure_vault/synthetic/fir/ev-63981.enc,0.9,SYNTHETIC,2024-03-08T23:42:43Z
EV000071,CDR,CDR-P00022-3051,Call detail: Ati Tank to 9034265023,/secure_vault/synthetic/cdr/ev-86712.enc,0.9,SYNTHETIC,2026-04-23T19:56:09Z
EV000072,SURVEILLANCE,REG-PH000212,Subscriber identity registration for 9034265023,/secure_vault/synthetic/surveillance/ev-66040.enc,0.9,SYNTHETIC,2024-01-22T01:35:32Z
EV000073,SURVEILLANCE,ANPR-VH000114,ANPR capture of TN49 GB 7959 near Blue Orchid Cartel corridor,/secure_vault/synthetic/surveillance/ev-16873.enc,0.9,SYNTHETIC,2025-08-17T20:12:00Z
EV000074,SURVEILLANCE,CCTV-VH000114,CCTV frames of TN49 GB 7959 with Anya Kibe at wheel,/secure_vault/synthetic/surveillance/ev-39063.enc,0.9,SYNTHETIC,2024-10-14T19:17:56Z
EV000075,FINANCIAL,RTGS-AC000203,RTGS beneficiary instruction from Anya Kibe account,/secure_vault/synthetic/financial/ev-44596.enc,0.9,SYNTHETIC,2024-07-08T06:07:58Z
EV000076,FINANCIAL,KYC-AC000203,KYC ownership of XXXX8298,/secure_vault/synthetic/financial/ev-39332.enc,0.9,SYNTHETIC,2024-06-01T09:58:43Z
EV000078,FIR,DOC-EV000077,Custody records placing Balvan Kapadia in Blue Orchid Cartel,/secure_vault/synthetic/fir/ev-36310.enc,0.9,SYNTHETIC,2025-09-08T23:43:17Z
EV000079,CDR,CDR-P00044-6590,Call detail: Manthan Garg to 6676954957,/secure_vault/synthetic/cdr/ev-70486.enc,0.9,SYNTHETIC,2025-05-24T01:27:11Z
EV000080,SURVEILLANCE,REG-PH000244,Subscriber identity registration for 6676954957,/secure_vault/synthetic/surveillance/ev-25234.enc,0.9,SYNTHETIC,2025-11-25T05:09:57Z
EV000081,SURVEILLANCE,ANPR-VH000132,ANPR capture of TN34 VV 1372 near Steel Falcon Gang corridor,/secure_vault/synthetic/surveillance/ev-80446.enc,0.9,SYNTHETIC,2026-01-21T08:03:13Z
EV000082,SURVEILLANCE,CCTV-VH000132,CCTV frames of TN34 VV 1372 with Damini Dutt at wheel,/secure_vault/synthetic/surveillance/ev-67159.enc,0.9,SYNTHETIC,2025-06-18T17:52:04Z
EV000084,FIR,DOC-EV000083,Scene-of-crime document naming Damini Dutt,/secure_vault/synthetic/fir/ev-29471.enc,0.9,SYNTHETIC,2024-12-24T13:51:01Z
EV000085,FIR,FIR-2026-9142,Ravi and Arjun co-mentioned; phone 9876543210 referenced,/secure_vault/synthetic/fir/signature-ev1.enc,0.93,SYNTHETIC,2024-10-08T06:15:34Z
EV000086,CDR,CDR-3210,Call detail record ties phone 9876543210 to Arjun Nair,/secure_vault/synthetic/cdr/signature-ev2.enc,0.96,SYNTHETIC,2024-10-12T06:15:34Z
EV000087,SURVEILLANCE,SR-44,Surveillance places Arjun Nair using vehicle KA01AB1234,/secure_vault/synthetic/surveillance/signature-ev3.enc,0.88,SYNTHETIC,2024-10-08T06:15:34Z
EV000088,SURVEILLANCE,SR-45,Vehicle KA01AB1234 associated with Suresh Pillai,/secure_vault/synthetic/surveillance/signature-ev4.enc,0.85,SYNTHETIC,2024-10-14T06:15:34Z
EV000089,FINANCIAL,TXN-7788,Financial record links Suresh Pillai to account XXXX7788,/secure_vault/synthetic/financial/signature-ev5.enc,0.9,SYNTHETIC,2024-10-18T06:15:34Z
EV000090,FIR,FIR-2026-9201,Account XXXX7788 traced to Cobra Syndicate in follow-up investigation,/secure_vault/synthetic/fir/signature-ev6.enc,0.82,SYNTHETIC,2024-10-11T06:15:34Z
EV000091,CDR,CDR-BATCH-2024-Q1,Bulk CDR pull 2024 Q1 (synthetic demo),/secure_vault/synthetic/cdr/batch-2024-Q1.enc,0.85,SYNTHETIC,2024-03-28T18:00:00Z
EV000092,CDR,CDR-BATCH-2024-Q2,Bulk CDR pull 2024 Q2 (synthetic demo),/secure_vault/synthetic/cdr/batch-2024-Q2.enc,0.85,SYNTHETIC,2024-06-28T18:00:00Z
EV000093,CDR,CDR-BATCH-2024-Q3,Bulk CDR pull 2024 Q3 (synthetic demo),/secure_vault/synthetic/cdr/batch-2024-Q3.enc,0.85,SYNTHETIC,2024-09-28T18:00:00Z
EV000094,CDR,CDR-BATCH-2024-Q4,Bulk CDR pull 2024 Q4 (synthetic demo),/secure_vault/synthetic/cdr/batch-2024-Q4.enc,0.85,SYNTHETIC,2024-12-28T18:00:00Z
EV000095,CDR,CDR-BATCH-2025-Q1,Bulk CDR pull 2025 Q1 (synthetic demo),/secure_vault/synthetic/cdr/batch-2025-Q1.enc,0.85,SYNTHETIC,2025-03-28T18:00:00Z
EV000096,CDR,CDR-BATCH-2025-Q2,Bulk CDR pull 2025 Q2 (synthetic demo),/secure_vault/synthetic/cdr/batch-2025-Q2.enc,0.85,SYNTHETIC,2025-06-28T18:00:00Z
EV000097,CDR,CDR-BATCH-2025-Q3,Bulk CDR pull 2025 Q3 (synthetic demo),/secure_vault/synthetic/cdr/batch-2025-Q3.enc,0.85,SYNTHETIC,2025-09-28T18:00:00Z
EV000098,CDR,CDR-BATCH-2025-Q4,Bulk CDR pull 2025 Q4 (synthetic demo),/secure_vault/synthetic/cdr/batch-2025-Q4.enc,0.85,SYNTHETIC,2025-12-28T18:00:00Z
EV000099,CDR,CDR-BATCH-2026-Q1,Bulk CDR pull 2026 Q1 (synthetic demo),/secure_vault/synthetic/cdr/batch-2026-Q1.enc,0.85,SYNTHETIC,2026-03-28T18:00:00Z
EV000100,CDR,CDR-BATCH-2026-Q2,Bulk CDR pull 2026 Q2 (synthetic demo),/secure_vault/synthetic/cdr/batch-2026-Q2.enc,0.85,SYNTHETIC,2026-06-28T18:00:00Z
EV000101,CDR,CDR-BATCH-2026-Q3,Bulk CDR pull 2026 Q3 (synthetic demo),/secure_vault/synthetic/cdr/batch-2026-Q3.enc,0.85,SYNTHETIC,2026-09-28T18:00:00Z
EV000102,CDR,CDR-BATCH-2026-Q4,Bulk CDR pull 2026 Q4 (synthetic demo),/secure_vault/synthetic/cdr/batch-2026-Q4.enc,0.85,SYNTHETIC,2026-12-28T18:00:00Z
EV000103,CDR,CDR-CASE-0001-0,Cdr exhibit supporting case CASE-0001 (money laundering),/secure_vault/synthetic/cdr/case-0001-0.enc,0.93,SYNTHETIC,2024-10-13T10:23:03Z
EV000103,CDR,CDR-CASE-0001-0,Cdr exhibit supporting case CASE-0001 (money laundering),/secure_vault/synthetic/cdr/case-0001-0.enc,0.93,SYNTHETIC,2024-10-13T10:23:03Z
EV000104,INVESTIGATION_NOTE,NOTE-CASE-0001-1,Investigation Note exhibit supporting case CASE-0001 (money laundering),/secure_vault/synthetic/investigation_note/case-0001-1.enc,0.8,SYNTHETIC,2024-10-07T10:23:03Z
EV000104,INVESTIGATION_NOTE,NOTE-CASE-0001-1,Investigation Note exhibit supporting case CASE-0001 (money laundering),/secure_vault/synthetic/investigation_note/case-0001-1.enc,0.8,SYNTHETIC,2024-10-07T10:23:03Z
EV000105,CDR,CDR-CASE-0001-2,Cdr exhibit supporting case CASE-0001 (money laundering),/secure_vault/synthetic/cdr/case-0001-2.enc,0.87,SYNTHETIC,2024-10-16T10:23:03Z
EV000105,CDR,CDR-CASE-0001-2,Cdr exhibit supporting case CASE-0001 (money laundering),/secure_vault/synthetic/cdr/case-0001-2.enc,0.87,SYNTHETIC,2024-10-16T10:23:03Z
EV000106,INVESTIGATION_NOTE,NOTE-CASE-0002-0,Investigation Note exhibit supporting case CASE-0002 (murder),/secure_vault/synthetic/investigation_note/case-0002-0.enc,0.82,SYNTHETIC,2026-01-03T09:06:04Z
EV000106,INVESTIGATION_NOTE,NOTE-CASE-0002-0,Investigation Note exhibit supporting case CASE-0002 (murder),/secure_vault/synthetic/investigation_note/case-0002-0.enc,0.82,SYNTHETIC,2026-01-03T09:06:04Z
EV000107,CDR,CDR-CASE-0002-1,Cdr exhibit supporting case CASE-0002 (murder),/secure_vault/synthetic/cdr/case-0002-1.enc,0.79,SYNTHETIC,2026-01-26T09:06:04Z
EV000107,CDR,CDR-CASE-0002-1,Cdr exhibit supporting case CASE-0002 (murder),/secure_vault/synthetic/cdr/case-0002-1.enc,0.79,SYNTHETIC,2026-01-26T09:06:04Z
EV000108,INVESTIGATION_NOTE,NOTE-CASE-0002-2,Investigation Note exhibit supporting case CASE-0002 (murder),/secure_vault/synthetic/investigation_note/case-0002-2.enc,0.94,SYNTHETIC,2026-01-29T09:06:04Z
EV000108,INVESTIGATION_NOTE,NOTE-CASE-0002-2,Investigation Note exhibit supporting case CASE-0002 (murder),/secure_vault/synthetic/investigation_note/case-0002-2.enc,0.94,SYNTHETIC,2026-01-29T09:06:04Z
EV000109,INVESTIGATION_NOTE,NOTE-CASE-0003-0,Investigation Note exhibit supporting case CASE-0003 (vehicle theft),/secure_vault/synthetic/investigation_note/case-0003-0.enc,0.89,SYNTHETIC,2025-08-01T18:14:31Z
EV000109,INVESTIGATION_NOTE,NOTE-CASE-0003-0,Investigation Note exhibit supporting case CASE-0003 (vehicle theft),/secure_vault/synthetic/investigation_note/case-0003-0.enc,0.89,SYNTHETIC,2025-08-01T18:14:31Z
EV000110,FIR,FIR-2024-0004,Fir exhibit supporting case CASE-0004 (extortion),/secure_vault/synthetic/fir/case-0004-0.enc,0.92,SYNTHETIC,2024-10-01T08:03:34Z
EV000110,FIR,FIR-2024-0004,Fir exhibit supporting case CASE-0004 (extortion),/secure_vault/synthetic/fir/case-0004-0.enc,0.92,SYNTHETIC,2024-10-01T08:03:34Z
EV000111,INVESTIGATION_NOTE,NOTE-CASE-0005-0,Investigation Note exhibit supporting case CASE-0005 (murder),/secure_vault/synthetic/investigation_note/case-0005-0.enc,0.88,SYNTHETIC,2024-12-21T20:41:01Z
EV000111,INVESTIGATION_NOTE,NOTE-CASE-0005-0,Investigation Note exhibit supporting case CASE-0005 (murder),/secure_vault/synthetic/investigation_note/case-0005-0.enc,0.88,SYNTHETIC,2024-12-21T20:41:01Z
EV000112,INVESTIGATION_NOTE,NOTE-CASE-0005-1,Investigation Note exhibit supporting case CASE-0005 (murder),/secure_vault/synthetic/investigation_note/case-0005-1.enc,0.77,SYNTHETIC,2024-12-31T20:41:01Z
EV000112,INVESTIGATION_NOTE,NOTE-CASE-0005-1,Investigation Note exhibit supporting case CASE-0005 (murder),/secure_vault/synthetic/investigation_note/case-0005-1.enc,0.77,SYNTHETIC,2024-12-31T20:41:01Z
EV000113,FINANCIAL,TXN-CASE-0005-2,Financial exhibit supporting case CASE-0005 (murder),/secure_vault/synthetic/financial/case-0005-2.enc,0.79,SYNTHETIC,2024-12-31T20:41:01Z
EV000113,FINANCIAL,TXN-CASE-0005-2,Financial exhibit supporting case CASE-0005 (murder),/secure_vault/synthetic/financial/case-0005-2.enc,0.79,SYNTHETIC,2024-12-31T20:41:01Z
EV000114,SURVEILLANCE,SR-CASE-0006-0,Surveillance exhibit supporting case CASE-0006 (smuggling),/secure_vault/synthetic/surveillance/case-0006-0.enc,0.82,SYNTHETIC,2024-10-27T09:23:35Z
EV000114,SURVEILLANCE,SR-CASE-0006-0,Surveillance exhibit supporting case CASE-0006 (smuggling),/secure_vault/synthetic/surveillance/case-0006-0.enc,0.82,SYNTHETIC,2024-10-27T09:23:35Z
EV000115,FINANCIAL,TXN-CASE-0006-1,Financial exhibit supporting case CASE-0006 (smuggling),/secure_vault/synthetic/financial/case-0006-1.enc,0.83,SYNTHETIC,2024-10-29T09:23:35Z
EV000115,FINANCIAL,TXN-CASE-0006-1,Financial exhibit supporting case CASE-0006 (smuggling),/secure_vault/synthetic/financial/case-0006-1.enc,0.83,SYNTHETIC,2024-10-29T09:23:35Z
EV000116,SURVEILLANCE,SR-CASE-0007-0,Surveillance exhibit supporting case CASE-0007 (narcotics trafficking),/secure_vault/synthetic/surveillance/case-0007-0.enc,0.91,SYNTHETIC,2025-08-18T16:40:35Z
EV000116,SURVEILLANCE,SR-CASE-0007-0,Surveillance exhibit supporting case CASE-0007 (narcotics trafficking),/secure_vault/synthetic/surveillance/case-0007-0.enc,0.91,SYNTHETIC,2025-08-18T16:40:35Z
EV000117,SURVEILLANCE,SR-CASE-0007-1,Surveillance exhibit supporting case CASE-0007 (narcotics trafficking),/secure_vault/synthetic/surveillance/case-0007-1.enc,0.92,SYNTHETIC,2025-07-28T16:40:35Z
EV000117,SURVEILLANCE,SR-CASE-0007-1,Surveillance exhibit supporting case CASE-0007 (narcotics trafficking),/secure_vault/synthetic/surveillance/case-0007-1.enc,0.92,SYNTHETIC,2025-07-28T16:40:35Z
EV000118,SURVEILLANCE,SR-CASE-0007-2,Surveillance exhibit supporting case CASE-0007 (narcotics trafficking),/secure_vault/synthetic/surveillance/case-0007-2.enc,0.76,SYNTHETIC,2025-08-18T16:40:35Z
EV000118,SURVEILLANCE,SR-CASE-0007-2,Surveillance exhibit supporting case CASE-0007 (narcotics trafficking),/secure_vault/synthetic/surveillance/case-0007-2.enc,0.76,SYNTHETIC,2025-08-18T16:40:35Z
EV000119,FINANCIAL,TXN-CASE-0008-0,Financial exhibit supporting case CASE-0008 (fraud),/secure_vault/synthetic/financial/case-0008-0.enc,0.94,SYNTHETIC,2026-07-27T04:25:44Z
EV000119,FINANCIAL,TXN-CASE-0008-0,Financial exhibit supporting case CASE-0008 (fraud),/secure_vault/synthetic/financial/case-0008-0.enc,0.94,SYNTHETIC,2026-07-27T04:25:44Z
EV000120,FIR,FIR-2024-0009,Fir exhibit supporting case CASE-0009 (money laundering),/secure_vault/synthetic/fir/case-0009-0.enc,0.88,SYNTHETIC,2024-04-12T06:06:31Z
EV000120,FIR,FIR-2024-0009,Fir exhibit supporting case CASE-0009 (money laundering),/secure_vault/synthetic/fir/case-0009-0.enc,0.88,SYNTHETIC,2024-04-12T06:06:31Z
EV000121,SURVEILLANCE,SR-CASE-0009-1,Surveillance exhibit supporting case CASE-0009 (money laundering),/secure_vault/synthetic/surveillance/case-0009-1.enc,0.85,SYNTHETIC,2024-03-10T06:06:31Z
EV000121,SURVEILLANCE,SR-CASE-0009-1,Surveillance exhibit supporting case CASE-0009 (money laundering),/secure_vault/synthetic/surveillance/case-0009-1.enc,0.85,SYNTHETIC,2024-03-10T06:06:31Z
EV000122,SURVEILLANCE,SR-CASE-0009-2,Surveillance exhibit supporting case CASE-0009 (money laundering),/secure_vault/synthetic/surveillance/case-0009-2.enc,0.81,SYNTHETIC,2024-03-09T06:06:31Z
EV000122,SURVEILLANCE,SR-CASE-0009-2,Surveillance exhibit supporting case CASE-0009 (money laundering),/secure_vault/synthetic/surveillance/case-0009-2.enc,0.81,SYNTHETIC,2024-03-09T06:06:31Z
EV000123,CDR,CDR-CASE-0010-0,Cdr exhibit supporting case CASE-0010 (smuggling),/secure_vault/synthetic/cdr/case-0010-0.enc,0.82,SYNTHETIC,2026-08-31T00:00:00Z
EV000123,CDR,CDR-CASE-0010-0,Cdr exhibit supporting case CASE-0010 (smuggling),/secure_vault/synthetic/cdr/case-0010-0.enc,0.82,SYNTHETIC,2026-08-31T00:00:00Z
EV000124,CDR,CDR-CASE-0011-0,Cdr exhibit supporting case CASE-0011 (smuggling),/secure_vault/synthetic/cdr/case-0011-0.enc,0.75,SYNTHETIC,2026-03-21T20:05:48Z
EV000124,CDR,CDR-CASE-0011-0,Cdr exhibit supporting case CASE-0011 (smuggling),/secure_vault/synthetic/cdr/case-0011-0.enc,0.75,SYNTHETIC,2026-03-21T20:05:48Z
EV000125,FINANCIAL,TXN-CASE-0011-1,Financial exhibit supporting case CASE-0011 (smuggling),/secure_vault/synthetic/financial/case-0011-1.enc,0.95,SYNTHETIC,2026-03-13T20:05:48Z
EV000125,FINANCIAL,TXN-CASE-0011-1,Financial exhibit supporting case CASE-0011 (smuggling),/secure_vault/synthetic/financial/case-0011-1.enc,0.95,SYNTHETIC,2026-03-13T20:05:48Z
